Alameda County, California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,56.6,-1.3
189612,57.5,-0.4
189712,56.6,-1.3
189812,57.3,-0.6
189912,57.3,-0.6
190012,58.4,0.5
190112,57.4,-0.5
190212,56.9,-1.0
190312,56.8,-1.1
190412,57.4,-0.5
190512,57.1,-0.8
190612,58.0,0.1
190712,57.2,-0.7
190812,56.5,-1.4
190912,56.5,-1.4
191012,56.7,-1.2
191112,55.5,-2.4
191212,56.7,-1.2
191312,57.6,-0.3
191412,57.6,-0.3
191512,57.4,-0.5
191612,55.9,-2.0
191712,56.8,-1.1
191812,57.2,-0.7
191912,56.2,-1.7
192012,56.7,-1.2
192112,57.5,-0.4
192212,56.0,-1.9
192312,57.0,-0.9
192412,57.4,-0.5
192512,57.5,-0.4
192612,59.0,1.1
192712,57.4,-0.5
192812,57.4,-0.5
192912,57.2,-0.7
193012,57.1,-0.8
193112,58.6,0.7
193212,57.4,-0.5
193312,57.0,-0.9
193412,59.2,1.3
193512,56.6,-1.3
193612,58.9,1.0
193712,57.6,-0.3
193812,57.4,-0.5
193912,58.4,0.5
194012,59.0,1.1
194112,58.5,0.6
194212,57.3,-0.6
194312,58.2,0.3
194412,57.4,-0.5
194512,57.8,-0.1
194612,56.8,-1.1
194712,57.8,-0.1
194812,56.2,-1.7
194912,56.7,-1.2
195012,58.3,0.4
195112,57.4,-0.5
195212,57.6,-0.3
195312,57.9,0.0
195412,57.5,-0.4
195512,56.8,-1.1
195612,57.4,-0.5
195712,58.4,0.5
195812,59.7,1.8
195912,59.7,1.8
196012,58.4,0.5
196112,58.1,0.2
196212,57.5,-0.4
196312,57.4,-0.5
196412,57.6,-0.3
196512,57.3,-0.6
196612,58.4,0.5
196712,58.1,0.2
196812,58.2,0.3
196912,58.2,0.3
197012,58.7,0.8
197112,57.0,-0.9
197212,57.8,-0.1
197312,58.2,0.3
197412,57.9,0.0
197512,56.9,-1.0
197612,58.4,0.5
197712,58.5,0.6
197812,59.1,1.2
197912,59.1,1.2
198012,58.5,0.6
198112,59.7,1.8
198212,57.3,-0.6
198312,59.2,1.3
198412,59.3,1.4
198512,58.1,0.2
198612,59.5,1.6
198712,59.2,1.3
198812,59.5,1.6
198912,58.2,0.3
199012,58.7,0.8
199112,58.5,0.6
199212,60.2,2.3
199312,59.0,1.1
199412,57.7,-0.2
199512,59.9,2.0
199612,60.4,2.5
199712,60.4,2.5
199812,58.0,0.1
199912,58.1,0.2
200012,59.0,1.1
200112,59.6,1.7
200212,59.0,1.1
200312,59.7,1.8
200412,59.6,1.7
200512,59.4,1.5
200612,59.0,1.1
200712,58.9,1.0
200812,59.1,1.2
200912,59.0,1.1
201012,58.3,0.4
201112,57.9,0.0
201212,59.3,1.4
201312,59.5,1.6
201412,62.0,4.1
201512,61.0,3.1
201612,60.4,2.5
201712,60.5,2.6
201812,59.8,1.9
201912,59.7,1.8
202012,61.7,3.8
202112,60.0,2.1
