Alameda County, California, Heating Degree Days, January-December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
189512,3360,304
189612,3152,96
189712,3455,399
189812,3297,241
189912,3155,99
190012,2835,-221
190112,3078,22
190212,3414,358
190312,3308,252
190412,3156,100
190512,3202,146
190612,3035,-21
190712,3128,72
190812,3443,387
190912,3363,307
191012,3251,195
191112,3622,566
191212,3324,268
191312,3237,181
191412,3000,-56
191512,3153,97
191612,3556,500
191712,3397,341
191812,3269,213
191912,3464,408
192012,3371,315
192112,3116,60
192212,3703,647
192312,3274,218
192412,3148,92
192512,3077,21
192612,2647,-409
192712,3093,37
192812,3105,49
192912,3227,171
193012,3161,105
193112,2915,-141
193212,3179,123
193312,3324,268
193412,2546,-510
193512,3439,383
193612,2791,-265
193712,3186,130
193812,3188,132
193912,2906,-150
194012,2650,-406
194112,2755,-301
194212,3211,155
194312,2853,-203
194412,3136,80
194512,3143,87
194612,3352,296
194712,3084,28
194812,3550,494
194912,3407,351
195012,2963,-93
195112,3164,108
195212,3202,146
195312,3011,-45
195412,3106,50
195512,3335,279
195612,3170,114
195712,2975,-81
195812,2641,-415
195912,2545,-511
196012,2992,-64
196112,3136,80
196212,3140,84
196312,3252,196
196412,3166,110
196512,3186,130
196612,2898,-158
196712,3156,100
196812,2979,-77
196912,3025,-31
197012,2793,-263
197112,3430,374
197212,3133,77
197312,2978,-78
197412,3080,24
197512,3333,277
197612,2904,-152
197712,2865,-191
197812,2766,-290
197912,2836,-220
198012,2793,-263
198112,2582,-474
198212,3234,178
198312,2789,-267
198412,2879,-177
198512,3126,70
198612,2473,-583
198712,2651,-405
198812,2650,-406
198912,2927,-129
199012,2938,-118
199112,2899,-157
199212,2517,-539
199312,2796,-260
199412,3126,70
199512,2476,-580
199612,2402,-654
199712,2428,-628
199812,3137,81
199912,2993,-63
200012,2716,-340
200112,2647,-409
200212,2776,-280
200312,2685,-371
200412,2611,-445
200512,2640,-416
200612,2883,-173
200712,2770,-286
200812,2810,-246
200912,2819,-237
201012,2911,-145
201112,3079,23
201212,2663,-393
201312,2657,-399
201412,1954,-1102
201512,2314,-742
201612,2346,-710
201712,2493,-563
201812,2534,-522
201912,2642,-414
202012,2306,-750
202112,2590,-466
