Alameda County, California, Minimum Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,45.9,-1.2
189612,47.1,0.0
189712,46.3,-0.8
189812,47.0,-0.1
189912,47.2,0.1
190012,48.3,1.2
190112,46.4,-0.7
190212,46.2,-0.9
190312,45.5,-1.6
190412,46.4,-0.7
190512,45.6,-1.5
190612,47.5,0.4
190712,47.7,0.6
190812,45.6,-1.5
190912,46.4,-0.7
191012,45.7,-1.4
191112,44.9,-2.2
191212,46.0,-1.1
191312,46.6,-0.5
191412,47.0,-0.1
191512,46.8,-0.3
191612,45.5,-1.6
191712,45.4,-1.7
191812,46.5,-0.6
191912,45.1,-2.0
192012,46.1,-1.0
192112,46.8,-0.3
192212,44.9,-2.2
192312,45.5,-1.6
192412,45.8,-1.3
192512,46.9,-0.2
192612,47.7,0.6
192712,46.5,-0.6
192812,46.6,-0.5
192912,45.9,-1.2
193012,46.3,-0.8
193112,47.4,0.3
193212,45.7,-1.4
193312,45.5,-1.6
193412,48.1,1.0
193512,45.2,-1.9
193612,47.0,-0.1
193712,46.3,-0.8
193812,46.6,-0.5
193912,46.3,-0.8
194012,48.1,1.0
194112,48.3,1.2
194212,46.2,-0.9
194312,46.7,-0.4
194412,46.1,-1.0
194512,46.7,-0.4
194612,45.4,-1.7
194712,46.4,-0.7
194812,44.8,-2.3
194912,45.5,-1.6
195012,47.3,0.2
195112,47.1,0.0
195212,47.3,0.2
195312,47.0,-0.1
195412,46.7,-0.4
195512,45.7,-1.4
195612,46.0,-1.1
195712,48.3,1.2
195812,49.0,1.9
195912,48.0,0.9
196012,47.5,0.4
196112,47.3,0.2
196212,46.9,-0.2
196312,47.5,0.4
196412,46.9,-0.2
196512,47.2,0.1
196612,47.7,0.6
196712,47.6,0.5
196812,47.7,0.6
196912,47.8,0.7
197012,48.1,1.0
197112,46.5,-0.6
197212,47.6,0.5
197312,48.0,0.9
197412,47.4,0.3
197512,46.4,-0.7
197612,47.0,-0.1
197712,47.9,0.8
197812,49.0,1.9
197912,48.9,1.8
198012,48.1,1.0
198112,49.4,2.3
198212,47.5,0.4
198312,49.8,2.7
198412,48.5,1.4
198512,47.6,0.5
198612,48.8,1.7
198712,48.8,1.7
198812,48.5,1.4
198912,47.4,0.3
199012,47.8,0.7
199112,47.9,0.8
199212,49.8,2.7
199312,48.8,1.7
199412,47.2,0.1
199512,50.2,3.1
199612,49.9,2.8
199712,49.9,2.8
199812,48.6,1.5
199912,47.6,0.5
200012,48.8,1.7
200112,48.8,1.7
200212,48.1,1.0
200312,49.3,2.2
200412,49.2,2.1
200512,49.3,2.2
200612,48.5,1.4
200712,48.0,0.9
200812,48.1,1.0
200912,48.3,1.2
201012,48.3,1.2
201112,47.4,0.3
201212,48.2,1.1
201312,48.2,1.1
201412,51.1,4.0
201512,50.2,3.1
201612,49.9,2.8
201712,49.8,2.7
201812,48.9,1.8
201912,49.3,2.2
202012,50.6,3.5
202112,49.0,1.9
