Mean data for USA Province= 5: California, from 1982 to 2022, yearly
for cropland area only
year, SMN,SMT,VCI,TCI, VHI

1982, 0.315,296.12, 56.31, 69.76, 63.03,
1983, 0.279,295.03, 37.29, 78.10, 57.69,
1984, 0.317,298.20, 55.92, 54.79, 55.35,
1985, 0.311,300.45, 49.10, 45.46, 47.28,
1986, 0.298,298.49, 46.82, 43.79, 45.31,
1987, 0.288,298.97, 42.08, 39.15, 40.61,
1988, 0.297,299.23, 46.14, 37.85, 41.99,
1989, 0.303,299.37, 50.75, 36.93, 43.84,
1990, 0.291,299.52, 44.92, 34.91, 39.92,
1991, 0.282,299.25, 42.11, 36.08, 39.10,
1992, 0.286,298.14, 41.13, 48.28, 44.71,
1993, 0.297,297.88, 48.15, 50.97, 49.56,
1994, 0.324,300.42, 49.23, 43.04, 46.13,
1995, 0.298,298.87, 44.31, 47.49, 45.90,
1996, 0.305,298.59, 50.93, 43.35, 47.14,
1997, 0.311,298.81, 53.89, 41.48, 47.68,
1998, 0.315,295.67, 57.77, 72.90, 65.33,
1999, 0.296,297.20, 47.00, 59.02, 53.01,
2000, 0.291,297.11, 45.23, 57.40, 51.31,
2001, 0.301,298.70, 48.58, 41.27, 44.92,
2002, 0.306,298.91, 50.73, 40.07, 45.40,
2003, 0.310,298.33, 52.87, 44.85, 48.86,
2004, 0.298,296.85, 53.31, 55.53, 54.42,
2005, 0.318,297.81, 58.32, 50.70, 54.51,
2006, 0.308,298.47, 52.95, 43.69, 48.32,
2007, 0.298,299.91, 47.62, 31.05, 39.33,
2008, 0.301,299.97, 48.48, 29.06, 38.77,
2009, 0.314,299.55, 55.35, 34.09, 44.72,
2010, 0.318,297.69, 59.13, 52.85, 55.99,
2011, 0.311,298.68, 54.20, 43.50, 48.85,
2012, 0.299,300.01, 48.42, 30.03, 39.23,
2013, 0.290,300.28, 44.66, 31.10, 37.84,
2014, 0.277,300.87, 39.03, 25.39, 32.20,
2015, 0.293,300.18, 45.56, 31.59, 38.60,
2016, 0.296,298.89, 47.31, 42.06, 44.73,
2017, 0.295,298.47, 47.58, 46.29, 46.96,
2018, 0.291,299.42, 46.02, 37.40, 41.77,
2019, 0.300,298.18, 50.39, 49.32, 49.92,
2020, 0.292,300.18, 45.41, 30.31, 37.90,
2021, 0.290,300.14, 44.95, 29.79, 37.41,
